Date,NumberOfSubjects,Fatal,SubjectArmed,SubjectRace,SubjectGender,SubjectAge,NatureOfStop,NumberOfShots,NumberOfOfficers,OfficerRace,OfficerGender,Department,FullNarrative,City,Notes
1/9/2010,1,F,Y,W,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
1/13/2010,1,F,Y,W,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
1/29/2010,1,N,Y,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
3/4/2010,1,N,N,L,U,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,motorized vehicle; no hits
3/29/2010,1,F,N,W,M,U,NA,NA,1,H,M,Albuquerque Police Department,NA,Albuquerque,motorized vehicle
4/14/2010,1,N,Y,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
6/10/2010,1,F,Y,W,M,U,NA,NA,2,W;W,M;M,Albuquerque Police Department,NA,Albuquerque,
6/15/2010,1,F,N,U,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,knife/cutting instrument
7/27/2010,1,F,N,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,knife/cutting instrument
7/28/2010,1,N,N,U,U,U,NA,NA,2,W;W,M;M,Albuquerque Police Department,NA,Albuquerque,motorized vehicle
8/17/2010,1,F,N,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,knife/cutting instrument
9/14/2010,1,N,N,W,M,U,NA,NA,1,W,F,Albuquerque Police Department,NA,Albuquerque,knife/cutting instrument
10/18/2010,1,F,Y,U,M,U,NA,NA,3,U;H;W,M;M;M,Albuquerque Police Department,NA,Albuquerque,
10/31/2010,1,F,N,W,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,motorized vehicle
11/10/2010,1,N,Y,U,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
11/11/2010,1,N,Y,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
11/11/2010,1,N,N,L,F,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,motorized vehicle
1/14/2011,1,N,N,U,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,no hits
2/9/2011,1,F,Y,W,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
4/12/2011,1,F,Y,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
5/10/2011,1,F,Y,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
6/4/2011,1,F,Y,L,M,U,NA,NA,3,H;W;W,M;M;M,Albuquerque Police Department,NA,Albuquerque,
6/26/2011,1,N,N,L,M,U,NA,NA,1,H,M,Albuquerque Police Department,NA,Albuquerque,knife/cutting instrument
8/30/2011,1,F,Y,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
9/7/2011,1,N,Y,U,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
1/4/2012,1,F,Y,W,M,U,NA,NA,1,H,M,Albuquerque Police Department,NA,Albuquerque,
3/19/2012,1,F,N,W,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,motorized vehicle
3/21/2012,1,F,Y,W,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
4/19/2012,1,N,Y,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
6/20/2012,1,N,Y,L,M,U,NA,NA,1,U,M,Albuquerque Police Department,NA,Albuquerque,
8/6/2012,1,N,Y,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
12/17/2012,1,N,N,L,U,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,no hits
3/5/2013,1,F,Y,W,M,U,NA,NA,3,H;W;W,M;M;M,Albuquerque Police Department,NA,Albuquerque,
3/19/2013,1,F,Y,B,M,U,NA,NA,1,H,M,Albuquerque Police Department,NA,Albuquerque,
7/5/2013,1,F,N,B,M,U,NA,NA,2,W;W,M;F,Albuquerque Police Department,NA,Albuquerque,knife/cutting instrument
7/30/2013,1,N,N,U,U,U,NA,NA,2,W;W,M;M,Albuquerque Police Department,NA,Albuquerque,
9/3/2013,1,N,Y,U,U,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
8/21/2013,1,N,N,U,U,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
10/26/2013,1,F,Y,W,M,U,NA,NA,6,H;H;W;W;W;W,M;F;M;M;M;M,Albuquerque Police Department,NA,Albuquerque,
10/28/2013,1,N,Y,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
11/9/2013,1,N,Y,U,U,U,NA,NA,4,W;W;H;H,M;M;M;M,Albuquerque Police Department,NA,Albuquerque,
11/15/2013,1,N,Y,L,M,U,NA,NA,1,H,M,Albuquerque Police Department,NA,Albuquerque,
12/1/2013,1,F,N,W,M,U,NA,NA,3,W;W;H,M;M;M,Albuquerque Police Department,NA,Albuquerque,blunt instrument
12/8/2013,1,F,N,W,M,U,NA,NA,1,H,M,Albuquerque Police Department,NA,Albuquerque,blunt instrument
1/9/2014,1,N,N,U,U,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,motorized vehicle
3/16/2014,1,F,N,W,M,U,NA,NA,2,H;U,M;M,Albuquerque Police Department,NA,Albuquerque,knife/cutting instrument
3/25/2014,1,F,Y,U,M,U,NA,NA,1,H,M,Albuquerque Police Department,NA,Albuquerque,
4/21/2014,1,F,Y,W,F,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,
