Date,NumberOfSubjects,Fatal,SubjectArmed,SubjectRace,SubjectGender,SubjectAge,NatureOfStop,NumberOfShots,NumberOfOfficers,OfficerRace,OfficerGender,Department,FullNarrative,City,Notes
2/10/2010,2,N;N,N,W;W,M;F,26;20,NA,NA,NA,U,U,Baltimore County Police Department,"Suspects involved in an armed robbery, fled from police and stopped. Suspect vehicle struck officer as officer approached car. Officer was knocked 5' into the air and fired weapon at suspect car.",BaltimoreCounty,
6/28/2010,1,N,N,B,M,26,NA,NA,NA,U,U,Baltimore County Police Department,"Officer saw and attempted to stop a stolen car. When officer got out of his car, he was struck by the driver of the stolen car. Officer fired service weapon when he was struck by stolen car.",BaltimoreCounty,
7/21/2010,1,F,Y,B,M,34,NA,NA,NA,U,U,Baltimore County Police Department,Suspect in counterfeiting ring was approached by detectives at Ramada Inn. Suspect pulled handgun and fired at police. Two officers returned fire. Suspect deceased at scene.,BaltimoreCounty,handgun
9/6/2010,1,N,N,B,M,44,NA,NA,NA,U,U,Baltimore County Police Department,"Suspect was chasing and attacking people in the parking lot of a Food Lion store. When the officer arrived, the suspect open the officer's drivers side door and assaulted the officer. The officer was able to pull his service weapon and fire at the suspect. The suspect took the officer's gun away from the officer and attempted to shot the officer but was unable to since the magazine from the gun was ejected. An assisting officer responded. When the second officer arrived, the suspect pointed the weapon at the officer and pulled the trigger. The second officer fired his weapon at the suspect.",BaltimoreCounty,Subject was initially unarmed but stole officer's magazine-less gun.
9/25/2011,1,F,N,W,M,40,NA,NA,NA,U,U,Baltimore County Police Department,Police received call for suicidal person with a knife inside house. Suspect charged towards officers at front door with the knife in his hand. One officer fired service weapon as man was charging with knife. Suspect died at hospital.,BaltimoreCounty,knife
12/15/2011,1,N,Y,W,M,19,NA,NA,NA,U,U,Baltimore County Police Department,"Suspect was wanted for an armed robbery. Suspect led officers in a pursuit. When suspect stopped his car, several officer approached the suspect's car. The suspect placed a gun to his head and then turned the gun and pointed the gun at the police officers. BCoPD and another jurisdiction officer fired their weapons.",BaltimoreCounty,gun
12/19/2011,1,N,Y,B,M,27,NA,NA,NA,U,U,Baltimore County Police Department,"Police received call for armed robbery in progress. Officers saw suspect coming from back of house. Suspect pointed gun of responding officers, one officer fired his service weapon several time.",BaltimoreCounty,gun
7/12/2012,1,F,N,W,M,48,NA,NA,NA,U,U,Baltimore County Police Department,"Tactical Unit assisting execution of search warrant, suspect swung sword at officers striking and damaging a ballistic bunker. Tactical officer fired weapon as suspect was swinging the sword.",BaltimoreCounty,sword
8/13/2012,1,F,Y,W,M,35,NA,NA,NA,U,U,Baltimore County Police Department,"Police received four calls for same suicidial person. Suspect was found with handgun. Officers were attempting to get the suspect to drop his handgun when the suspect raised the gun at the officers. One officer fired his weapon but did not strike the suspect. Shortly afterwards, the suspect shot and killed himself with the gun that he was holding.",BaltimoreCounty,handgun. Suicide.
8/29/2012,1,N,Y,W,M,31,NA,NA,NA,U,U,Baltimore County Police Department,Suspect had been reported as missing and with mental health problems on 8/28. Police received calls from the Beltway Motel for the suspect shooting a rifle from inside his room. Responding officers set up a perimeter around the motel room. The suspect came out of the room holding the rifle and started to walk towards the officers. Two officers fired their weapons.,BaltimoreCounty,rifle
