Date,NumberOfSubjects,Fatal,SubjectArmed,SubjectRace,SubjectGender,SubjectAge,NatureOfStop,NumberOfShots,NumberOfOfficers,OfficerRace,OfficerGender,Department,FullNarrative,City,Notes
2016-10,1,N,Y,L,M,31,NA,>/=1,1,W,F,Charlotte-Mecklenburg Police Department,"An officer was traveling on Woodlawn Rd and heard multiple gunshots coming from the parking lot of the Days Inn hotel. When she pulled into the adjacent alley and exited her vehicle, she immediately encountered an individual who was armed with a handgun. This officer perceived that this individual was an imminent deadly threat at which time she fired her service weapon, striking the subject.",CharlotteMecklenburg,
2016-10,1,N,Y,B,M,UNKNOWN,NA,>/=1,1,B,M,Charlotte-Mecklenburg Police Department,"fireedom Division officers responded to an armed robbery in progress from the Cash America Pawn on Wilkinson Boulevard. The caller stated that multiple individuals had entered the business and were robbing the business at gunpoint. When responding officers entered the business, they encountered one of the individuals who fired a handgun at officers. One of the officers subsequently fired his service weapon at the individual. This individual was then immediately taken into custody.",CharlotteMecklenburg,
2016-09,1,F,Y,B,M,43,NA,>/=1,1,B,M,Charlotte-Mecklenburg Police Department,"officers were preparing to serve an arrest warrant when a vehicle pulled into the parking lot and parked beside them. The officers observed the driver rolling what they believed to be a marijuana blunt. officers did not consider the driver's drug activity to be a priority at the time and resumed the warrant operation. A short time later, an officer observed the driver hold a gun up. Due to the combination of illegal drugs and the gun possession, officers decided to take enforcement action for public safety concerns. officers departed the immediate area to outFt themselves with marked duty vests and equipment that would identify them as police officers. Upon returning, the officers again witnessed the driver in possession of a gun. The officers immediately identiFed themselves as police officers and gave verbal commands to drop the gun. The driver refused to follow the officers verbal commands. A uniformed officer in a marked patrol vehicle arrived to assist the officers. The uniformed officer utilized his baton to attempt to breach the front passenger window in an efFiort to arrest the driver. The driver then exited the vehicle with the gun and backed away from the vehicle while continuing to ignore officers' repeated verbal commands to drop the gun. An officer perceived the driver¿s actions and movements as an imminent physical threat to himself and the other officers. This officer fired his issued service weapon, striking the individual. officers immediately rendered Frst aid and requested Medic to respond to the scene.",CharlotteMecklenburg,
2016-08,1,N,Y,L,M,UNKNOWN,NA,>1,3,W; B; W,M; M; M,Charlotte-Mecklenburg Police Department,Patrol officers responded to a robbery call for service where two victims were shot. officers attempted to apprehend the individuals who fled the scene. officers engaged in a vehicle pursuit with the suspects. The pursuit concluded when the suspect's vehicle struck a utility pole on Highway 16 in Catawba County. officers attempted to arrest the individuals. One individual displayed a gun and refused to comply with the officers' commands and made movements with the weapon that threatened the safety of the officers. officers fired at the individual who was struck several times.,CharlotteMecklenburg,
2016-08,1,N,Y,W,M,30,NA,>/=1,1,W,M,Charlotte-Mecklenburg Police Department,"Patrol officers responded to an armed person call for service in which a subject claimed a M was armed with a handgun. Upon their arrival, officers located an individual who matched the description. When officers attempted to make contact with the individual, he fled on foot. During the foot pursuit, officers determined him to be armed with a handgun. While pursuing the individual, an officer perceived an imminent deadly threat and fired his service weapon, striking the individual. No officers were injured during the course of the incident.",CharlotteMecklenburg,
2016-06,1,F,Y,B,M,18,Assault,>1,2,W; W,M; M,Charlotte-Mecklenburg Police Department,"Patrol officers responded to an assault with a deadly weapon call for service. The caller stated that a M victim had been shot while riding a CATS bus and the individual got ofFi and began walking inbound on N. Tryon Street. As officers approached the scene they observed a subject walking inbound on N. Tryon Street who Ft the description of the shooting suspect. The two officers exited their patrol vehicles, and engaged with the individual. They determined him to be armed with a handgun. During the encounter, they perceived an imminent deadly threat and fired their service weapons striking the individual.",CharlotteMecklenburg,
2016-06,1,N,Y,B,M,40,Warrant; armed robbery,>/=1,1,W,M,Charlotte-Mecklenburg Police Department,"Detectives with the Violent Criminal Apprehension Team were attempting to serve an arrest warrant on a suspect who was wanted for several armed robberies from businesses. Detectives made contact with the occupants of the apartment who were escorted outside. Detectives then made contact with the wanted suspect who pulled out a firearm. A SWAT officer perceived an imminent lethal threat and fired his service weapon. The suspect then retreated back inside the apartment. Additional members of the SWAT Team and Negotiators were activated and responded to the scene. After a standofFi with the suspect, the SWAT Team made entry in to the apartment and located the injured suspect who was transported to the hospital.",CharlotteMecklenburg,SWAT
2016-04,1,F,Y,A,M,UNKNOWN,Suicide,>1,2,W; W,M; M,Charlotte-Mecklenburg Police Department,"Patrol officers responded to an individual threatening suicide. When patrol officers arrived on scene they observed the individual holding a firearm. Members of the SWAT Team and Negotiators were activated and responded to the scene. After several attempts to convince the individual to put down the firearm, the individual moved in a way that was perceived as an imminent threat at which time two SWAT officers fired their weapons striking the individual.",CharlotteMecklenburg,SWAT
2016-03,1,N,Y,B,M,25,Shots fired,>1,1,W,M,Charlotte-Mecklenburg Police Department,"Patrol officers responded to a shots fired call for service. When officers and the Charlotte fire Department arrived on scene, the individual began shooting at them, striking an officer. officers returned fire striking the individual.",CharlotteMecklenburg,
2016-01,1,F,Y,B,M,33,Shots fired,>/=1,1,W,M,Charlotte-Mecklenburg Police Department,"Patrol officers responded to a shots fired call for service. When officers arrived, a M inside a second story apartment exited on to his balcony and began shooting at officers, striking a patrol vehicle. While the individual was shooting at officers, an officer returned fire.",CharlotteMecklenburg,
2016-01,1,F,Y,B,M,30,Murder,>1,8,W; B; W; W; W; W; W; W,M; M; M; M; M; M; M; M; F,Charlotte-Mecklenburg Police Department,"officers were attempting to locate a murder suspect. As officers approached the residence where the suspect was believed to be, 2 individuals exited the residence and upon encountering the police, one of them fired at the officers. Subsequently, multiple officers returned fire, striking one of them.",CharlotteMecklenburg,
2016-01,1,N,Y,U,M,UNKNOWN,Fight; shots fired,>/=1,1,W,M,Charlotte-Mecklenburg Police Department,"Patrol officers responded to a robbery call for service. Upon arrival, the victim stated that two individuals exited a vehicle and approached her on foot. They stole her purse and fled the scene in a vehicle. The individuals then traveled to Sharview Circle and were observed checking door handles on parked cars in the apartment complex parking lot. A concerned citizen observed their actions and notiFed the officer, who was working in an ofFi duty capacity at the apartment complex. While the officer was being notiFed, the individuals robbed a M victim at gunpoint. The individuals then fled from the scene on foot. The officer located the individuals in the parking lot. As he approached them, he verbally identiFed himself as an officer and gave orders for them to cooperate. One of the individuals pointed a firearm in the direction of the officer, who subsequently fired his weapon.",CharlotteMecklenburg,. No hit
2015-12,1,F,Y,B,M,18,NA,>/=1,1,W,M,Charlotte-Mecklenburg Police Department,"A group of individuals who had a history of feuding, encountered each other inside the mall. An altercation ensued which led to one of the individuals discharging a firearm. An officer working ofFi duty in the mall heard multiple shots being fired. The officer responded to the scene and encountered an individual armed with a firearm. When the individual with the firearm shot into an occupied store, the officer fired his service weapon.",CharlotteMecklenburg,Off-duty
2015-10,1,N,Y,B,M,32,Stolen vehicle,>/=1,1,A/PI,F,Charlotte-Mecklenburg Police Department,"An officer was patrolling her area when she attempted to assist the motorist of a disabled vehicle. As the officer approached the vehicle, she recognized the vehicle as a stolen vehicle that was taken during a home invasion the week prior. As the officer approached the motorist, he produced a firearm. The officer immediately deployed her Taser which was unsuccessful in disabling the armed individual. A struggle ensued before both the officer and the individual exchanged gunfire. The individual fled on foot and while running, turned and fired his weapon in the direction of the officer.",CharlotteMecklenburg,. No hit
