Date,NumberOfSubjects,Fatal,SubjectArmed,SubjectRace,SubjectGender,SubjectAge,NatureOfStop,NumberOfShots,NumberOfOfficers,OfficerRace,OfficerGender,Department,FullNarrative,City,Notes
1/17/2010,1,N,N,W,M,21,Fight / disorderly conduct,NA,1,W,M,Fort Worth Police Department,NA,Fort Worth,"No Hit, Vehicle"
5/17/2010,1,F,N,W,M,22,Mental crisis / suicide attempt,NA,2,"W, U","M, U",Fort Worth Police Department,NA,Fort Worth,
5/27/2010,1,N,N,W,M,55,Drug suspicion / drug warrant,NA,1,W,M,Fort Worth Police Department,NA,Fort Worth,Vehicle
5/31/2010,1,F,N,B,M,37,Burglary / home invasion,NA,1,B,M,Fort Worth Police Department,NA,Fort Worth,
9/28/2010,1,N,Y,B,M,39,Robbery,NA,1,W,M,Fort Worth Police Department,NA,Fort Worth,No Hit
10/1/2010,1,N,Y,B,M,17,Robbery,NA,1,U,U,Fort Worth Police Department,NA,Fort Worth,
10/10/2010,1,N,U,W,M,22,Unknown,NA,1,W,M,Fort Worth Police Department,NA,Fort Worth,No Hit
10/20/2010,1,N,N,B,M,35,Suspicious activity / patrol,NA,1,W,M,Fort Worth Police Department,NA,Fort Worth,"Weapon listed as ""other"""
2/28/2011,1,F,N,B,M,32,Traffic stop,NA,1,W,M,Fort Worth Police Department,NA,Fort Worth,Vehicle
4/19/2011,1,N,Y,L,M,28,Shots fired / shooting,NA,1,H,M,Fort Worth Police Department,NA,Fort Worth,No Hit
5/23/2011,1,N,N,L,M,17,Burglary / home invasion,NA,1,B,M,Fort Worth Police Department,NA,Fort Worth,Vehicle
5/23/2011,1,F,N,W,F,46,Mental crisis / suicide attempt,NA,1,U,U,Fort Worth Police Department,NA,Fort Worth,"Weapon listed as ""other"""
7/12/2011,1,F,Y,W,M,70,Other,NA,3,"W, B, W","M, M, M",Fort Worth Police Department,NA,Fort Worth,
8/23/2011,1,F,Y,W,M,47,Robbery,NA,1,U,U,Fort Worth Police Department,NA,Fort Worth,
