Date,NumberOfSubjects,Fatal,SubjectArmed,SubjectRace,SubjectGender,SubjectAge,NatureOfStop,NumberOfShots,NumberOfOfficers,OfficerRace,OfficerGender,Department,FullNarrative,City,Notes
12/12/2016,1,N,U,B,M,24,NA,NA,1,W,M,Indianapolis Metro Police Department,NA,Indianapolis,NO HITS
11/25/2016,2,N;U,Y;Y,B;B,M;M,30;25,NA,NA,1,W,M,Indianapolis Metro Police Department,NA,Indianapolis,
10/19/2016,2,N,U;U,B;B,M;M,51;40,NA,NA,1,W,M,Indianapolis Metro Police Department,NA,Indianapolis,NO HITS
8/23/2016,1,N,U,B,M,48,NA,NA,1,W,M,Indianapolis Metro Police Department,NA,Indianapolis,
8/11/2016,1,N,Y,W,M,31,NA,NA,2,B;B,M;M,Indianapolis Metro Police Department,NA,Indianapolis,
8/1/2016,1,N,U,W,M,36,NA,NA,1,W,M,Indianapolis Metro Police Department,NA,Indianapolis,
7/25/2016,1,F,Y,B,M,32,NA,NA,16,B;W;W;W;B;W;W;W;W;W;B;W;W;W;W;W,M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M,Indianapolis Metro Police Department,NA,Indianapolis,
4/30/2016,1,N,N,B,M,27,NA,NA,1,W,M,Indianapolis Metro Police Department,NA,Indianapolis,NO HITS
4/5/2016,1,F,N,B,M,45,NA,NA,1,W,M,Indianapolis Metro Police Department,NA,Indianapolis,
4/2/2016,1,F,Y,B,M,30,NA,NA,1,W,M,Indianapolis Metro Police Department,NA,Indianapolis,
3/25/2016,1,N,U,W,M,17,NA,NA,1,W,M,Indianapolis Metro Police Department,NA,Indianapolis,
3/8/2016,1,N,Y,W,M,31,NA,NA,1,W,M,Indianapolis Metro Police Department,NA,Indianapolis,NO HITS
1/7/2016,1,U,N,W,M,19,NA,NA,1,W,M,Indianapolis Metro Police Department,NA,Indianapolis,
12/12/2015,1,F,N,B,M,25,NA,NA,2,W;W,M;M,Indianapolis Metro Police Department,NA,Indianapolis,knife
12/10/2015,1,F,U,W,M,34,NA,NA,2,W;W,M;M,Indianapolis Metro Police Department,NA,Indianapolis,
10/26/2015,1,N,Y,B,M,21,NA,NA,1,W,M,Indianapolis Metro Police Department,NA,Indianapolis,
10/5/2015,1,N,Y,W,M,47,NA,NA,1,U,M,Indianapolis Metro Police Department,NA,Indianapolis,
8/29/2015,1,N,U,B,M,33,NA,NA,1,W,M,Indianapolis Metro Police Department,NA,Indianapolis,No info -- Covert operation 
8/17/2015,1,F,Y,B,M,21,NA,NA,2,W;W,M;M,Indianapolis Metro Police Department,NA,Indianapolis,
8/9/2015,1,F,Y,B,M,15,NA,NA,3,W;W;B,M;M;M,Indianapolis Metro Police Department,NA,Indianapolis,
7/20/2015,1,N,U,B,M,18,NA,NA,1,W,M,Indianapolis Metro Police Department,NA,Indianapolis,NO HITS
6/23/2015,1,F,U,W,M,41,NA,NA,1,B,M,Indianapolis Metro Police Department,NA,Indianapolis,
6/14/2015,1,N,Y,L,M,37,NA,NA,1,W,M,Indianapolis Metro Police Department,NA,Indianapolis,
