Date,NumberOfSubjects,Fatal,SubjectArmed,SubjectRace,SubjectGender,SubjectAge,NatureOfStop,NumberOfShots,NumberOfOfficers,OfficerRace,OfficerGender,Department,FullNarrative,City,Notes
1/1/2010,1,N,N,W,M,19,Stolen car; traffic stop; car chase,8,2,W; H,M; M,Phoenix Police Department,"Subjects in stolen vehicle, ofcs high risk stop, subject veh stopped between vehicles, drove towards ofc, both ofcs discharged weapons. A passenger in the subject's vehicle was also wounded in the OIS.",Phoenix,Vehicle
1/26/2010,1,F,Y,U,M,52,Call for Service,11,2,W; W,M; M,Phoenix Police Department, Ofc's contacted subject at intersection. When exited vehicle to contact suspect removed gun from back of pants and fired one round. Ofcs discharged weapons. Subject of kidnapping call walked away from location of call as officers were approaching the location. Officers located subject down the street and made contact.,Phoenix,
2/2/2010,1,N,N,B,M,32,Firearm,1,1,W,M,Phoenix Police Department,"Suspect on foot in the area of 2800 E Southern pointing B gun at citizens, cars, and dogs. Officers arrive on scene. No compliance. Suspect points weapon at Officer. Ofc returns fire, one round, misses suspect flees on foot. After short foot pursuit, multiple officer pile-up, tasing, suspect taken into custody. Gun was a BB gun.",Phoenix,BB Gun
2/12/2010,1,N,N,L,M,16,Drugs,5,1,W,M,Phoenix Police Department,"NET squad doing UC drug buys. SP produced gun, officer shot SP.  Officer yelled ""Phoenix Police,"" but did not have an opportunity to show his badge before shooting the suspect. Officer thought subject produced a gun. Subject said he simulated a gun and said he was going to kill the officer. No gun found at scene. ",Phoenix,undercover
3/10/2010,1,N,N,L,M,28,Assault,1,1,W,M,Phoenix Police Department,"Suspect committed aggravated assault earlier in the day. Officers conducted follow-up at a known location where the suspect frequented. Officers contacted suspect, who was armed with a firearm concealed in his pants. Suspect reached for his gun and was shot one time ending the threat.NOTE:OIS officer stated he was surprised and startled by the subject. Ofc could not explain why he discharged his weapon. Ofc did not see a gun. Unintentional discharge.",Phoenix,
4/16/2010,1,N,Y,W,M,35,Stolen car,4,1,W,M,Phoenix Police Department,"211 Circle K. SP took clerks veh. Off obs vehicle, pursuit 961, SP pointed revolver at officer. Two separate officers in pursuit with subject. First officer on scene of 961 involved in OIS. 2nd officer saw subject point weapon at officer and heard shots. Did not have opportunity for a response.",Phoenix,
4/22/2010,1,F,Y,L,M,28,Burglary,1,1,W,M,Phoenix Police Department,"Barricade of 2 burglary susps. One SP posed as hostage during escape plan. Officer shot ""hostage taker"".  Subject set house on fire and held gun to head of ""hostage"". Ofc fired to protect ""hostage"" and officers.Subject was found to have meth, amphetamine, and ecstacy in his system.",Phoenix,
5/7/2010,1,F,Y,L,M,36,Homicide,23,4,B; W; H; W,M; M; M; M,Phoenix Police Department,Suspect shot and killed a family member. Officers located suspect vehicle and stopped on the freeway. Suspect exited vehicle and began shooting at officers. Suspect was shot and killed. Injured officer was injured from glass shards. Equipment failure was a handgun malfunction during OIS.,Phoenix,
5/26/2010,1,N,Y,L,M,31,Call for Service,2,1,W,M,Phoenix Police Department,"961H/647V radio calls. 2 ofc unit resp. 1 officer checked veh, Ofc 2 looked for SP. SP ambushed Ofc 2. Ofc 2 pronounced.First unit on scene (725M) not assigned to CFS. No record of arrival time in CAD. Estimate listed as 0135 hrs based on interviews and available data.",Phoenix,
6/30/2010,1,N,Y,A,M,18,Domestic violence; shots fired,12,2,W; W,M; M,Phoenix Police Department,"Ofcs responded to a domestic violence - shots fired call. Upon arrival the ofcrs heard additional shots inside the residence. Shortly thereafter, the subject walked outside and pointed the gun at ofcrs. 2 ofcrs shot and wounded the subj, who was later booked.",Phoenix,
