Date,NumberOfSubjects,Fatal,SubjectArmed,SubjectRace,SubjectGender,SubjectAge,NatureOfStop,NumberOfShots,NumberOfOfficers,OfficerRace,OfficerGender,Department,FullNarrative,City,Notes
1/23/2010,1,F,N,U,U,U,Mental health,NA,2,,M;U,San Francisco Police Department,"On January 23, 2010 at 17:22 hours, Ingleside Station officers responded to 87 Maynard Street regarding a check on the well-being of a possible 5150. Upon arrival, an officer was confronted by a suspect armed with a machete while his partner was meeting with the reporting party. The officer discharged his firearm and the suspect expired at scene",San Francisco,Machete
4/12/2010,1,N,N,U,U,U,Traffic stop,NA,1,,M;U,San Francisco Police Department,"On April 12, 2010 at approximately 17:00 hours, plain clothes officers were attempting to stop a suspect who had briefly fled an attempted traffic stop by a uniformed Honda unit. The driver drove in reverse striking an unmarked police vehicle. One officer discharged his firearm at the fleeing driver. The suspect sustained a gunshot wound and was taken into custody",San Francisco,plain clothes; vehicle
4/21/2010,1,N,N,U,U,U,Violence Reduction,NA,2,,M;U,San Francisco Police Department,"On April 21, 2010 at approximately 22:49 hours, plain clothes officers assigned to Violence Reduction in the Bayview District attempted to make contact with occupants of a parked vehicle on Reardon Road. The vehicle fled and drove at one of the officers. The officer discharged his firearm at the driver, who fled the scene.",San Francisco,plain clothes
7/3/2010,1,N,Y,U,M,21,Shooting,1,2,,M;M,San Francisco Police Department,http://sfdistrictattorney.org/sites/default/files/FileCenter/Documents/314-300%20Block%20Columbus.pdf,San Francisco,No hits
7/24/2010,2,N,Y;Y,U;U,U,U,Stolen Car,NA,1,,F,San Francisco Police Department,"On July 24, 2010 at approximately 05:3 0 hours, a uniformed officer observed a vehicle wanted in a carjacking with two armed suspects. A pursuit began near Fillmore and McAllister and ended on the 700 block of Arkansas. The officer discharged her firearm but neither suspect was hit by gunfire. No suspects in custody.",San Francisco,No hits
8/18/2010,1,N,Y,U,M,U,Weapon possesion; firearms,4,6,,M;M;M;M;M;M,San Francisco Police Department,http://sfdistrictattorney.org/sites/default/files/FileCenter/Documents/317-75%20Northridge%20Road.pdf,San Francisco,"Dunne, Rightmire, Doherty involved in other shootings (above). http://sfdistrictattorney.org/sites/default/files/FileCenter/Documents/317-75%20Northridge%20Road.pdf"
9/26/2010,1,F,Y,U,U,U,Noise complaint,NA,1,,F,San Francisco Police Department,"On September 26, 2010 at approximately 11:15 hours, a uniformed officer responded to a noise complaint at 1000 Sutter Street. She responded to an apartment and confronted a single occupant. The suspect gained possession of a firearm during the confrontation and the officer discharged her firearm. The suspect died at scene.",San Francisco,
9/30/2010,1,N,N,U,M,U,Traffic stop,NA,1,,M;U,San Francisco Police Department,"On September 30, 2010 at approximately 20:20 hours, several plain clothes officers made a traffic stop at 3rd Street and LaSalle Avenue. After finding narcotics, the suspect driver refused to exit his vehicle and was able to restart it. An officer, who had become positioned in front of the 10 vehicle, had to move to avoid being struck. The officer discharged his firearm during the incident but there were no injuries.",San Francisco,plain clothes
11/12/2010,1,N,N,U,M,U,Traffic stop,NA,1,,M,San Francisco Police Department,"On November 12, 2010 at approximately 14:21 hours, a Northern housing unit made a traffic stop for plain clothes officers at Buchanan Street and Fell Street. When a sergeant began getting dragged by the fleeing vehicle, an officer discharged his firearm at the driver. The vehicle was later recovered showing that the single shot did not penetrate the interior of the vehicle. There were no injuries. Several days later, the suspect turned himself in and was arrested.",San Francisco,plain clothes; no hits
12/10/2010,1,N,N,U,U,U,Park rules,NA,1,,U,San Francisco Police Department,"On December 10, 2010 at 15:23 hours, a Mission Station uniformed officer on patrol. The officer made contact with several individuals at Garfield Square Park who were in violation of several park regulations. One of the individuals physically attacked the officer. During the incident, the officer discharged his Department-issued firearm striking the suspect. Both the officer and the suspect survived and were treated at SFGH.",San Francisco,
12/29/2010,1,F,N,U,M,U,Stabbing,1,3,,U,San Francisco Police Department,"On December 29, 2010 at approximately 15:40 hours, two Bayview Station officers were in uniform and assigned to patrol duties. An inspector in plain clothes was assigned to Bayview Investigations. All three responded to 626 Bacon Street on the report of a stabbing. The officers were confronted by the knife-wielding suspect. Both uniformed officers discharged their firearms. The suspect later expired from his injuries.",San Francisco,plain clothes; knife
