Date,NumberOfSubjects,Fatal,SubjectArmed,SubjectRace,SubjectGender,SubjectAge,NatureOfStop,NumberOfShots,NumberOfOfficers,OfficerRace,OfficerGender,Department,FullNarrative,City,Notes
5/20/2010,1,N,Y,W,M,28,Welfare check; suicide,3,>1,W; Unknown,M; Unknown,Seattle Police Department,"On May 20th, 2010, at approximately 8:10 P.M., Seattle Police Department Special Weapons and Tactics (SWAT) Officers responded to a barricaded subject in the 3000 block of Nrthwest 73rd St. Approximately 40 minutes earlier, two Mental Health Professionals (MHP’s) had attempted a welfare check on the subject. The subject had contacted a crisis hotline and stated he was suicidal. When the MHP’s arrived at the home the subject produced a long gun and asked the MHP’s to leave. Hostage negotiators made several attempts to get the subject to surrender. SWAT Officers deployed ‘flash bang’ devices to distract the subject and broke several windows with wooden dowel, less-lethal rounds but the subject still refused to surrender. At one point, the subject appeared in the window with a B semi-automatic rifle. A SWAT Officer fired three rounds from his rifle, missing the subject. After several minutes the subject surrendered to officers and was taken into custody.     The subject was charged with Harassment.  ",Seattle,Air soft rifle; SWAT team; hostage negotiators
8/16/2010,1,F,Y,W,M,44,Domestic violence,1,3,W; Unknown; Unknown,M; Unknown; Unknown,Seattle Police Department,"On August 16th, 2010, at approximately 8:00 P.M., two on-duty Seattle Police Patrol Officers responded to a Quality Food Center (QFC) in the 8400 block of 35th Avenue Nrtheast. Store employees had called to report an employee, wanted in a domestic violence investigation, was present in the store. When the officers attempted to contact the subject in the meat department, he fled into an employee area. A physical altercation ensued as the officers came into contact with the subject in a narrow hallway. A third on-duty officer responded to assist. Shortly after the third officer arrived, one of the first two officers observed the subject draw a firearm from a holster. The officer issued a warning of a gun to the other officers and ordered the subject to drop the gun. The subject did Nt comply and the officer discharged his weapon once, striking the subject in the abdomen. Officers took the subject into custody and medics transported the subject to Harborview Medical Center where he later died.   ",Seattle,.22 caliber pistol
8/30/2010,1,F,N,U,M,51,Weapons posession,4,1,W,M,Seattle Police Department,"On August 30th, 2010, at approximately 4:10 P.M., an on-duty Seattle Police Patrol Officer was waiting for a traffic light at the intersection of Boren Avenue and Howell St. The officer observed a pedestrian passing in front of his Seattle Police patrol vehicle. The subject was carrying a knife and a block of wood. The officer activated his emergency lights and exited his vehicle with his firearm drawn but Nt pointed at the subject. He ordered the subject several times to drop the knife. The subject did Nt comply. The officer fired four rounds, striking the subject. Back-up officer arrived and took the subject into custody. The subject was proNunced dead at the scene. ",Seattle,Knife; Found not justified; officer disciplined
9/3/2010,1,N,Y,W,M,59,Shooting,Multiple,3,H/L; W; AI/AN,M; M; M,Seattle Police Department,"On September 3rd, 2010, at approximately 8:45 P.M., Seattle Police received a report of shots fired in the 6100 block of Southwest Admiral Way. The caller reported she had been on the phone with her father who was distressed following a recent argument with his spouse. The subject had stated he was contemplating suicide and the caller heard what sounded like a gunshot before the line went dead. A Patrol Sergeant, a Field Training Officer (in plain clothes) and a Student Officer responded to the scene. The officers approached the house and called to the subject, identifying themselves as Seattle Police. The subject emerged through the door of the house with a rifle and pointed it at officers. Officers opened fire, striking the subject. The subject responded to verbal commands to surrender and was taken into custody. The subject was treated by medics and transported to Harborview Medical Center where he recovered from his injuries.  The subject was charged with Aggravated Assault.  ",Seattle,Multiple Firearms; Plainclothes
11/22/2010,1,F,Y,A,M,31,Welfare check,Multiple,3,W; W; Multi-Racial,M; M; M,Seattle Police Department,"On Nvember 22nd, 2010, SWAT Officers responded to the 1300 block of 15th Avenue South at the request of the Seattle Fire Department for a fast backup. Seattle Fire had responded to that location to conduct a welfare check of a subject slumped behind the wheel of a parked car. When the firefighters made contact with the subject he produced a handgun and held it to his head. The firefighters took cover and called for fast backup. Three SWAT Officers arrived in time to see the subject back his car out of the alley and turn westbound on 14th Avenue South toward officers staged at the intersection of 14th Avenue South and South Atlantic St. The officers issued multiple commands to the subject to drop the weapon and stop the vehicle. The subject did Nt comply. Three SWAT Officers fired on the subject.  Medics treated the subject at the scene where he died.  ",Seattle,Handgun; SWAT team
12/7/2010,1,N,Y,L,M,38,Weapons posession,1,2,W; Unknown,M; Unknown,Seattle Police Department,"On December 7th, 2010, at approximately 10:00 P.M., two on-duty Seattle Police Patrol Officers responded to the area of 3rd Avenue and Yler Way for a report of a man with a gun. Three callers described the subject and indicated they had observed a handgun. The subject was located in the doorway of a business in the 500 block of 3rd Avenue. The officers exited their patrol vehicle, with their weapons drawn, identified themselves as police and ordered the subject to get on the ground. The subject refused to comply. As the officers pursued the subject Nrthbound, one of the officers transitioned to a Taser while the other maintained lethal cover with a firearm. The subject reached toward the front of his waistband and the Taser officer transitioned back to his firearm. The subject was attempting to extract a ‘gun shaped object’ from his waistband when the officer fired one round. The subject fell and was taken into custody. The subject was transported to Harborview Medical Center.   The subject was charged with Aggravated Assault and Possession of a Firearm.  ",Seattle,.22 caliber pistol
6/28/2011,2,N,Y,B;U,M,27,Disturbance; firearms posession,Multiple,1,W,F,Seattle Police Department,"On June 28th, 2011, at approximately 11:50 P.M., a Seattle Police Patrol Officer observed a disturbance involving a large number of people, in the area of 7th Avenue South and South Dearborn. The officer observed one of the subjects draw a firearm and fire on a second subject. The officer was observing from a parking lot at an extended distance from the disturbance. The officer identified herself as police and fired on the first subject. When the first subject with the firearm fled, the second subject fired in the direction of the first subject. The officer then fired on the second subject. The officer took the second subject into custody and retrieved a 9mm firearm. The first subject fled on foot and was Nt located. A .357 magnum revolver was recovered along the first subjects’ path of travel.   Neither subject was injured.  One subject was charged with Assault.",Seattle,.357 revolver; No hits
10/23/2011,1,F,N,W,M,36,Homicide subject,2,>1,W,M,Seattle Police Department,"On October 23rd, 2011, at approximately 2:30 P.M. Seattle Police Detectives located a subject matching the description of a person believed to be involved in a homicide they were investigating. The subject was sitting near the intersection of 5th Avenue and Denny Way. The subject had been observed in the area using the homicide victim’s credit card. The detectives took up a surveillance position in an unmarked Seattle Police vehicle and called for additional units to make the arrest. The subject began to move, on foot and the detectives maneuvered their vehicle to keep the subject in sight. While eastbound on Denny Way their vehicle malfunctioned and the detectives decided to detain the subject. As the detectives approached the subject they identified themselves as police, and ordered the subject Nt to move, at gunpoint. The subject charged one of the detectives and attempted to take control of his firearm. A physical altercation ensued and the detective fired two rounds. The subject slumped to the ground and was taken into custody. The subject died at the scene.  ",Seattle,Physical altercation
8/6/2012,1,N,Y,A,M,19,Burglary,Multiple,1,H/L,M,Seattle Police Department,"On August 6, 2012 at approximately 1:20 A.M., an on duty Seattle Police K-9 Officer responded to the scene of a shooting in the 7900 block of Rainier Avenue South.  The suspect in the shooting had left the scene and the handgun used had Nt been recovered. The officer and his K-9 partner tracked and did Nt locate the subject by 2:06 A.M. and the call was cleared.   The officer later responded to a burglary call, and while at that call learned that people frequently use the alley behind the burglary victim’s house to access Pritchard Beach Park by jumping over a fence.  The Officer and his K-9 partner decided to check the park.  The gate was open, although the park is posted closed from 10:00 P.M. to 6:00 A.M.   As the officer checked the park, he Nticed a person sitting on a bench facing Lake Washington.   The subject seated on the bench got up and began to move in a ‘flanking motion’ toward the officer.   The officer then Nticed that the subject was carrying a bright colored handgun in his hand.  The officer gave commands to drop the weapon, secured his K-9 partner, and advised radio of the situation.   The suspect then began to raise his weapon toward the officer.  The officer fired 2-3 rounds that missed the subject.   The subject lowered the gun and then again pointed it at the officer.   The officer fired several more rounds at the subject.  The subject then lowered himself to the ground and lay on his back.  The officer maintained cover of the subject until other officers arrived and took the subject into custody.  The subject was treated at the scene and then transported to Harborview Medical Center with Nn-life threatening injuries.   The subject was later booked into the King County jail and charged with Assault 1st Degree with a Deadly Weapon.  ",Seattle,Semil automatic .38 caliber handgun
9/3/2012,1,N,N,B,M,36,Suspected carjacking,Multiple,2,B; W,M; M,Seattle Police Department,"On September 3, 2012 at approximately 1:40 P.M., two uniformed Seattle Police Officers riding Department issued bicycles were working an emphasis patrol in the Seattle Center during the Bumbershoot Music Festival.   While riding through a parking lot in the 100 block of Taylor Avenue Nrth, the officers observed the subject climbing out of an SUV through a shattered window.   The officers approached the subject and ordered him to stop.  The subject igNred the officers and entered a vehicle parked next to the damaged vehicle.   The subject started the vehicle and backed up.  The subject then pulled forward at a high rate of speed, making one officer fear that he was about to be struck.  Both officers fired at the vehicle.   The vehicle continued and exited the parking lot.  The subject later abandoned the vehicle and fled on foot.  He was later taken in to custody by patrol officers responding to the call for assistance from the bicycle officers.  The subject was arrested and booked into the King County Jail for Investigation of Assault.   ",Seattle,Vehicle
9/23/2012,1,F,Y,B,M,78,Suspicious circumstances; medical emergency,2,2,W; W,F; M,Seattle Police Department,"On September 23, 2012 at approximately 11:07 P.M., uniformed officers were handling a suspicious circumstances / medical emergency call with the Seattle Fire Department in the 6300 block of South Bangor St., when the subject’s alarm company contacted Seattle Police saying that the subject was reporting a possible prowler in his house.  The subject also reported that he was armed.   Officers arrived at the home and contacted the subject, who came out of the house with a handgun.  Officers directed the subject to put the gun down.  Subject raised the gun at the officers, and two officers fired.   The subject was proNunced dead at the scene. ",Seattle,Handgun
